time,qq_id,nick_name,qq_name,content
2025/2/13,1146922247,外交鬼才,小野寺 日向『,就什么都不干然后使用了作业帮还是卡点完成的
2025/2/13,3479209290,李嘉图AAAIYNM,,无敌了
2025/2/13,3479209290,李嘉图AAAIYNM,,这么多
2025/2/13,3479209290,李嘉图AAAIYNM,,如果老师布置太多
2025/2/13,1239466838,Roter Stern,,看来湖北还是不够卷啊。
2025/2/13,3479209290,李嘉图AAAIYNM,,我们全班都只会做认为合理的量
2025/2/13,398061853,fmlong,cinno,[CQ:imagesummary=&#91;动画表情&#93;file=3C72BB351C0C4E84621CC9B963EEAB4F.jpgsub_type=1url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhSeMkNB4wDnAK4TqVrP0Nyn61SdGBiQnkwg_woo7Oat5ZvAiwMyBHByb2RQgL2jAVoQSxNdHEjAWYYRz97mDMJA9g&amp;rkey=CAESKBkcro_MGujoWvIWXHp9ltRp-vb5e8HhO1OazeuP1H2IyrZvc_w1QHcfile_size=1249040]
2025/2/13,1239466838,Roter Stern,,[CQ:imagesummary=&#91;动画表情&#93;file=367FED37A577207345821ADBF07FB144.jpgsub_type=1url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhR7QQrevdN9BWnsUE4OC4YAFYAFrRil318g_wooyZ2m75vAiwMyBHByb2RQgL2jAVoQZWd34T_yutzGojj0graWyg&amp;rkey=CAESKBkcro_MGujoWvIWXHp9ltRp-vb5e8HhO1OazeuP1H2IyrZvc_w1QHcfile_size=1568677]
2025/2/13,939555526,東風谷 明,lolicon→明,[CQ:imagesummary=file={758C36B8-7E23-60F6-0511-2AED776F0B55}.gifsub_type=1url=https://gchat.qpic.cn/gchatpic_new/0/0-0-758C36B87E2360F605112AED776F0B55/0file_size=1877378]
2025/2/13,1146922247,外交鬼才,小野寺 日向『,查了下，41张
2025/2/13,1146922247,外交鬼才,小野寺 日向『,还有一次两天是22张
2025/2/13,1146922247,外交鬼才,小野寺 日向『,有一次放假平均每天14张卷子
2025/2/13,1146922247,外交鬼才,小野寺 日向『,（谁会把这玩意记在空间说说里啊
2025/2/13,1417095317,就这样吧,百团miku求返图,[CQ:atqq=1915386313] ？
2025/2/13,1417095317,就这样吧,百团miku求返图,[CQ:imagesummary=file=3BA079BA25D3C4E97BBF221DEAA624A6.jpgsub_type=0url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhTL-a975l9lmv6QA5Sm2T2BkBCoXxjZwAkg_woopJ_KnJ3AiwMyBHByb2RQgL2jAVoQDOQbPac_jKwycW8GQICD9A&amp;rkey=CAESKBkcro_MGujoWvIWXHp9ltRp-vb5e8HhO1OazeuP1H2IyrZvc_w1QHcfile_size=155737]
2025/2/13,1417095317,就这样吧,百团miku求返图,但是我起点站啊
2025/2/13,1417095317,就这样吧,百团miku求返图,好抢座😋
2025/2/13,1305773663,2²º,,还好我也是天河机场
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,太卷了
2025/2/13,3519936026,山鸟,山鸟,[CQ:replyid=175599766][CQ:atqq=1305773663] ？
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,还好我在广东高考
2025/2/13,996563851,铸梦,屠神灭世,洪山广场可以有座位
2025/2/13,996563851,铸梦,屠神灭世,赢
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,听说新疆，青海，西藏也很舒服
2025/2/13,1146922247,外交鬼才,小野寺 日向『,内蒙是高考分数线低+卷的要死
2025/2/13,1146922247,外交鬼才,小野寺 日向『,内蒙高中三大地狱：内卷，高考，报考
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,那会一个宿舍每次话题到高考，我就不吱声
2025/2/13,3519936026,山鸟,山鸟,还有独特的志愿机制
2025/2/13,1287811651,且听风吟,,内蒙名额还少吧
2025/2/13,1305773663,2²º,,有民族加分吗
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,湖北，江苏，河南几个巨头
2025/2/13,610291971,不黏人的小奶兔,果壳大使奶兔（,[CQ:replyid=1423721272][CQ:atqq=296587326] 但是教育资源也少
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,所以香港户口最爽
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,400分上酒吧舞
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,就是费父母
2025/2/13,592598928,硝基盐酸,【五代漫协桌游,内蒙很神奇 志愿机制令人迷   报考成难题
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,卷父母孩子舒服
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,卷孩子父母没那么大压力
2025/2/13,2473264511,快给超大哔级啪让路！°Д°,,[CQ:imagesummary=&#91;动画表情&#93;file=560D9DF092B3F03EBFA0640C6271DCDF.pngsub_type=1url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhRDcG1KM5axmP1l-Fg6uF591V2S7hjHugQg_woom62Awp7AiwMyBHByb2RQgL2jAVoQJvMKij336xAkk76rvv00Xw&amp;rkey=CAESKBkcro_MGujoWvIWXHp9ltRp-vb5e8HhO1OazeuP1H2IyrZvc_w1QHcfile_size=73031]
2025/2/13,1287811651,且听风吟,,华科毕业就能留港吧
2025/2/13,1287811651,且听风吟,,港什么人才计划
2025/2/13,1287811651,且听风吟,,认华科不认武大
2025/2/13,994174342,Yuin社妃,,据说有华科没武大
2025/2/13,994174342,Yuin社妃,,赢。
2025/2/13,1915386313,AAA私房烘焙大师小狐师傅,喻家山霸王肥肥,赢麻了！
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,对
2025/2/13,1915386313,AAA私房烘焙大师小狐师傅,喻家山霸王肥肥,输输输😭
2025/2/13,610291971,不黏人的小奶兔,果壳大使奶兔（,赢
2025/2/13,1287811651,且听风吟,,输输输😭
2025/2/13,610291971,不黏人的小奶兔,果壳大使奶兔（,那他们认果壳吗
2025/2/13,1981054243,Ela_forever,Ela,[CQ:replyid=1423721272][CQ:atqq=296587326] 新疆你只有是少数民族才舒服
2025/2/13,1981054243,Ela_forever,Ela,[CQ:imagesummary=&#91;动画表情&#93;file=1778DE8C0783AE8F124660CDB10257DF.jpgsub_type=1url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhQ3-riiBj5zioIjIEr-GvyUvJ00BRiJkQYg_woo8dPwhJ_AiwMyBHByb2RQgL2jAVoQcGTbWewhHAtAdyvqIx5DbQ&amp;rkey=CAESKBkcro_MGujoWvIWXHp9ltRp-vb5e8HhO1OazeuP1H2IyrZvc_w1QHcfile_size=100489]
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,[CQ:imagesummary=file=8B57892ADDD73B862916ADED5D23B18B.pngsub_type=0url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhRnggW4sFucLb_kyVPP2E2jovGYMhiZ_hsg_wooypTii5_AiwMyBHByb2RQgL2jAVoQNcoNHw--W5rELiVseVvXTQ&amp;rkey=CAESKBkcro_MGujoWvIWXHp9ltRp-vb5e8HhO1OazeuP1H2IyrZvc_w1QHcfile_size=458521]
2025/2/13,1305773663,2²º,,第二批有五代
2025/2/13,1915386313,AAA私房烘焙大师小狐师傅,喻家山霸王肥肥,输输输😭
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,把高材生父母卷进去
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,经济就盘活了
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,房地产都有着落了
2025/2/13,1417095317,就这样吧,百团miku求返图,其实似乎也没盘活
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,想是这么想的
2025/2/13,296587326,Knight -Sir Galahad,Angel Beats,但没想到大陆的也不咋结婚生娃了
2025/2/13,1417095317,就这样吧,百团miku求返图,结婚生娃哪有卷有意思
2025/2/13,1417095317,就这样吧,百团miku求返图,()
2025/2/13,1915386313,AAA私房烘焙大师小狐师傅,喻家山霸王肥肥,[CQ:imagesummary=&#91;？&#93;file=5C9A85AFBBA8C61AE4DDB21C494E5530.jpgsub_type=7url=https://gchat.qpic.cn/gchatpic_new/0/0-0-5C9A85AFBBA8C61AE4DDB21C494E5530/0file_size=29054]
2025/2/13,996563851,铸梦,屠神灭世,哪有躺平有意思
2025/2/13,1915386313,AAA私房烘焙大师小狐师傅,喻家山霸王肥肥,[CQ:replyid=2046087108]听听这是人话嘛
2025/2/13,2473264511,快给超大哔级啪让路！°Д°,,[CQ:imagesummary=&#91;动画表情&#93;file=39A8B743D943D9FD303F3D1B97A84931.pngsub_type=1url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhR6jmWSF7fr_Wwbm5HIiNXWk6QNdBjU_QEg_woowMPx9Z_AiwMyBHByb2RQgL2jAVoQiUfzIcEUny7asQUByJ7hig&amp;rkey=CAESKBkcro_MGujoWvIWXHp9ltRp-vb5e8HhO1OazeuP1H2IyrZvc_w1QHcfile_size=32468]
2025/2/13,1287811651,且听风吟,,还是没工作
2025/2/13,1287811651,且听风吟,,工作一周都想读书了
